排名,球员,球队,进球数
1,Adil,地空,26
2,Elie,工院,18
3,Dafaalla,化院,17
4,Sebaka,地空,12
5,杨远帆,合肥研究院,6
6,张文泉,合肥研究院,6
7,高概,附医,5
8,韦正德,工院,5
9,张金,合肥研究院,5
10,Nash,信院,5
11,Rasa,信院,5
12,黄印荣,工院,4
13,张钦汉,工院,4
14,何阳,化院,4
15,张博轩,信院,4
16,刘雨田,地空,3
17,陈彪,附医,3
18,程鹏,附医,3
19,Justin,管数,3
20,陈泽立,管数,3
21,郑浩东,管数,3
22,邓国庆,合肥研究院,3
23,Alrayah,化院,3
24,白堉,化院,3
25,李世轩,化院,3
26,赵炳旭,物院,3
27,努斯热杜拉,地空,2
28,费勤宏,附医,2
29,李启健,附医,2
30,阮仁义,附医,2
31,陶金,附医,2
32,赵亚军,附医,2
33,高源,工院,2
34,宋林恺,工院,2
35,王应富,工院,2
36,谢晨波,合肥研究院,2
37,吴峰,化院,2
38,袁伟皓,化院,2
39,张家铭,火速,2
40,季易,少院,2
41,吴东润,少院,2
42,Claver,生院,2
43,秦啸尘,生院,2
44,冯鑫,物院,2
45,高崇宇,物院,2
46,邱大为,物院,2
47,谢良栩,物院,2
48,Kabwe,信院,2
49,李汶桓,信院,2
50,牧承庆,信院,2
51,杨学刚,信院,2
52,汪道濡,地空,1
53,聂正超,附医,1
54,张骆,附医,1
55,刘泽,工院,1
56,王梦灏,工院,1
57,王毅博,工院,1
58,邢益涛,工院,1
59,阿力木江,管数,1
60,陈灏宇,管数,1
61,李新,管数,1
62,麦尔丹,管数,1
63,宋京倍,管数,1
64,韦宇桐,管数,1
65,杨子豪,管数,1
66,叶尔那尔,管数,1
67,陈飞,合肥研究院,1
68,冯虎林,合肥研究院,1
69,黄文彪,合肥研究院,1
70,连文涛,合肥研究院,1
71,陈飔,化院,1
72,欧阳康博,化院,1
73,吴宇恩,化院,1
74,依沙克,化院,1
75,张少卿,化院,1
76,孙霄鹍,火速,1
77,涂轩霆,火速,1
78,叶尔森,火速,1
79,陈纳川,少院,1
80,刘逸航,少院,1
81,沈乐炎,少院,1
82,谢禛,少院,1
83,郑知恒,少院,1
84,Kazi,生院,1
85,戴辰照,生院,1
86,Blackhorse,生院,1
87,高梓宸,生院,1
88,侯新豪,生院,1
89,陈誉,物院,1
90,陈子张,物院,1
91,聂昌,物院,1
92,孙伟伟,物院,1
93,王庆,物院,1
94,Deen,信院,1
95,Sahaza,信院,1
96,刁瑞嵚,信院,1
97,鲁若天,信院,1
98,王熙隆,信院,1
99,毕润江,工院,1
