gameID,time,team1,team2,scores,place
J1,2022/9/25,化院女足,管数女足,4:0,东区
J2,2022/9/25,生少女足,物院女足,0:7,东区
J3,2023/3/25,地空女足,信计女足,0:1,西区
J4,2022/10/7,物院女足,地空女足,1:0,东区
J5,2023/4/1,生少女足,化院女足,0:2,西区
J6,2022/10/15,管数女足,信计女足,0:6,东区
J7,2022/11/20,化院女足,地空女足,0:2,东区
J8,2023/3/25,生少女足,管数女足,2:0,西区
J9,2022/11/20,信计女足,物院女足,0:8,东区
J10,2023/3/12,物院女足,化院女足,2:0,东区
J11,2023/3/12,地空女足,管数女足,5:0,东区
J12,2023/3/12,生少女足,信计女足,0:5,西区
J13,2023/3/18,化院女足,信计女足,0:1,西区
J14,2023/3/18,管数女足,物院女足,0:4,东区
J15,2023/3/18,地空女足,生少女足,4:0,东区
J16,2023/5/21,管数女足,地空女足,0:6,东区
J17,2023/5/24,生少女足,化院女足,0:1,东区
J18,2023/5/28,地空女足,信计女足,5:1,东区
J19,2023/6/1,物院女足,化院女足,1:2,东区
J20,2023/6/4,地空女足,化院女足,2:0,东区
