teamID,Tname,Ttype
C1,NextONE,club
C2,柠檬侠,club
C3,Free,club
C4,雄鹰,club
C5,销声客,club
C6,OK,club
C7,YES,club
C8,石榴熟了,club
C9,kickers,club
C10,Cooper,club
C11,三个不知道,club
D1,信院,Dteam
D2,物院,Dteam
D3,管数,Dteam
D4,化院女足,Dteam
D5,化院,Dteam
D6,信计女足,Dteam
D7,地空女足,Dteam
D8,生少女足,Dteam
C12,PreviousONE,club
C13,002,club
C14,世贤,club
D9,火速,Dteam
D10,工院,Dteam
D11,少院,Dteam
D12,地空,Dteam
D13,管数女足,Dteam
C15,西野联,club
C16,稻香村,club
C17,Soul,club
D14,附医,Dteam
D15,合肥研究院,Dteam
D16,生院,Dteam
C18,NanoFC,club
D17,物院女足,Dteam
C19,GUESS,club
C20,巴佩说的队,club
C21,ChemMystery,club
C22,WARRIORS,club
